type,storm,discount,climate,hazard,cost,benefit,ratio,net,ecosystem,net_ecosystem
NBA,50,0,2030,wave,1017.348462,386.9183833,0.3803204091,-630.4300787,214.4664538,-415.9636249
CCA,50,0,2030,wave,1153.096384,413.600412,0.3586867653,-739.495972,0,-739.495972
NBA,50,0,2030,erosion,1017.348462,352.6351841,0.3466218284,-664.7132779,214.4664538,-450.2468241
CCA,50,0,2030,erosion,1153.096384,431.1629554,0.3739175331,-721.9334286,0,-721.9334286
NBA,50,0,2030,total,1017.348462,740.1957595,0.7275734786,-277.1527025,214.4664538,-62.68624869
CCA,50,0,2030,total,1153.096384,847.3381748,0.7348372491,-305.7582092,0,-305.7582092
NBA,50,0,2060,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,50,0,2060,tide,1153.096384,0.068561308,0.0000594584,-1153.027823,0,-1153.027823
NBA,50,0,2060,storm,1017.348462,0.565606217,0.0005559611,-1016.782856,214.4664538,-802.316402
CCA,50,0,2060,storm,1153.096384,2.239188912,0.0019418922,-1150.857195,0,-1150.857195
NBA,50,0,2060,wave,1017.348462,386.9072209,0.3803094370,-630.4412411,214.4664538,-415.9747873
CCA,50,0,2060,wave,1153.096384,415.2603483,0.3601263121,-737.8360357,0,-737.8360357
NBA,50,0,2060,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,50,0,2060,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,50,0,2060,total,1017.348462,411.0369985,0.4040277386,-606.3114635,214.4664538,-391.8450097
CCA,50,0,2060,total,1153.096384,446.3122955,0.3870554983,-706.7840885,0,-706.7840885
NBA,50,0,2100,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,50,0,2100,tide,1153.096384,2055.283641,1.7824040293,902.187257,0,902.187257
NBA,50,0,2100,storm,1017.348462,56.51125363,0.0555475884,-960.8372084,214.4664538,-746.3707545
CCA,50,0,2100,storm,1153.096384,181.8396807,0.1576968614,-971.2567033,0,-971.2567033
NBA,50,0,2100,wave,1017.348462,3452.412388,3.3935396940,2435.063926,214.4664538,2649.53038
CCA,50,0,2100,wave,1153.096384,3650.824362,3.1661051170,2497.727978,0,2497.727978
NBA,50,0,2100,erosion,1017.348462,1290.901568,1.2688883070,273.5531055,214.4664538,488.0195594
CCA,50,0,2100,erosion,1153.096384,1550.213579,1.3443920215,397.1171947,0,397.1171947
NBA,50,0,2100,total,1017.348462,6472.676519,6.3623003926,5455.328057,214.4664538,5669.794511
CCA,50,0,2100,total,1153.096384,7438.161262,6.4505980292,6285.064878,0,6285.064878
NBA,75,0,Current,tide,1017.348462,0.000520369,0.0000005115,-1017.347942,214.4664538,-802.8814878
CCA,75,0,Current,tide,1153.096384,0.000646805,0.0000005609,-1153.095737,0,-1153.095737
NBA,75,0,Current,storm,1017.348462,0.026443737,0.0000259928,-1017.322018,214.4664538,-802.8555644
CCA,75,0,Current,storm,1153.096384,0.028345167,0.0000245818,-1153.068039,0,-1153.068039
NBA,75,0,Current,wave,1017.348462,21.74056731,0.0213698336,-995.6078947,214.4664538,-781.1414409
CCA,75,0,Current,wave,1153.096384,23.96557688,0.0207836719,-1129.130807,0,-1129.130807
NBA,75,0,Current,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,75,0,Current,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,75,0,Current,total,1017.348462,45.27654369,0.0445044598,-972.0719183,214.4664538,-757.6054645
CCA,75,0,Current,total,1153.096384,52.73876587,0.0457366501,-1100.357618,0,-1100.357618
NBA,75,0,2030,tide,1017.348462,0.062444324,0.0000613795,-1017.286018,214.4664538,-802.8195639
CCA,75,0,2030,tide,1153.096384,0.077616575,0.0000673114,-1153.018767,0,-1153.018767
NBA,75,0,2030,storm,1017.348462,0.386498544,0.0003799077,-1016.961963,214.4664538,-802.4955096
CCA,75,0,2030,storm,1153.096384,1.66479388,0.0014437595,-1151.43159,0,-1151.43159
NBA,75,0,2030,wave,1017.348462,257.9455889,0.2535469394,-759.4028731,214.4664538,-544.9364193
CCA,75,0,2030,wave,1153.096384,275.733608,0.2391245102,-877.362776,0,-877.362776
NBA,75,0,2030,erosion,1017.348462,352.6351841,0.3466218284,-664.7132779,214.4664538,-450.2468241
CCA,75,0,2030,erosion,1153.096384,431.1629554,0.3739175331,-721.9334286,0,-721.9334286
NBA,75,0,2030,total,1017.348462,611.0297158,0.6006100551,-406.3187462,214.4664538,-191.8522924
